Date,MMWR_week,Location,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Additional_Doses,Additional_Doses_Vax_Pct
10/28/2021,43,SC,2952815,57.4,2563956,49.8,263893,10.3
12/25/2020,52,AS,0,0,0,0,,0
12/25/2020,52,TN,0,0,0,0,,0
10/28/2021,43,PA,9891483,77.3,7724871,60.3,412358,5.3
10/28/2021,43,AL,2663952,54.3,2187378,44.6,186912,8.5
12/25/2020,52,WI,0,0,0,0,,0
10/28/2021,43,GA,6020210,56.7,5091916,48,351668,6.9
12/25/2020,52,VI,0,0,0,0,,0
12/25/2020,52,UT,0,0,0,0,,0
10/28/2021,43,ID,873082,48.9,780855,43.7,88830,11.4
10/28/2021,43,FM,45916,44.3,40321,38.9,52,0.1
10/28/2021,43,GU,131932,79.6,120842,72.9,9115,7.5
12/25/2020,52,DE,0,0,0,0,,0
12/25/2020,52,ND,0,0,0,0,,0
10/28/2021,43,VA,6052433,70.9,5372576,62.9,499915,9.3
12/16/2020,51,DE,0,0,0,0,,0
12/25/2020,52,AK,0,0,0,0,,0
12/25/2020,52,VT,0,0,0,0,,0
12/25/2020,52,TX,0,0,0,0,,0
10/28/2021,43,KS,1812146,62.2,1545017,53,128412,8.3
12/16/2020,51,HI,0,0,0,0,,0
10/28/2021,43,CT,2806283,78.7,2515556,70.6,216444,8.6
10/28/2021,43,AS,35230,63.3,30937,55.6,62,0.2
12/25/2020,52,WY,0,0,0,0,,0
12/25/2020,52,MN,0,0,0,0,,0
10/28/2021,43,WA,5270987,69.2,4823928,63.3,437212,9.1
10/28/2021,43,IA,1877314,59.5,1748251,55.4,185329,10.6
12/25/2020,52,AR,0,0,0,0,,0
10/28/2021,43,ND,404064,53,348554,45.7,36014,10.3
12/25/2020,52,MI,0,0,0,0,,0
10/28/2021,43,DC,522299,74,439077,62.2,25761,5.9
12/25/2020,52,KS,0,0,0,0,,0
12/25/2020,52,NV,0,0,0,0,,0
12/25/2020,52,FL,0,0,0,0,,0
12/25/2020,52,ME,0,0,0,0,,0
12/25/2020,52,US,0,0,0,0,,0
12/25/2020,52,NC,0,0,0,0,,0
12/25/2020,52,GA,0,0,0,0,,0
12/25/2020,52,SD,0,0,0,0,,0
10/28/2021,43,OH,6507978,55.7,6046207,51.7,549491,9.1
12/25/2020,52,DC,0,0,0,0,,0
10/28/2021,43,MA,5505793,79.9,4791152,69.5,381353,8
12/25/2020,52,NY,0,0,0,0,,0
10/28/2021,43,AR,1743777,57.8,1442790,47.8,129675,9
10/28/2021,43,BP2,126663,0,120392,0,2319,1.9
10/28/2021,43,WY,293260,50.7,253414,43.8,28135,11.1
12/25/2020,52,NE,0,0,0,0,,0
12/25/2020,52,MD,0,0,0,0,,0
12/25/2020,52,NM,0,0,0,0,,0
12/25/2020,52,OK,0,0,0,0,,0
12/25/2020,52,OH,0,0,0,0,,0
12/25/2020,52,VA2,0,0,0,0,,0
10/28/2021,43,CA,29349909,74.3,24126229,61.1,1831761,7.6
10/28/2021,43,MP,36303,63.8,34774,61.1,2127,6.1
12/25/2020,52,IL,0,0,0,0,,0
12/25/2020,52,MT,0,0,0,0,,0
12/25/2020,52,VA,0,0,0,0,,0
12/25/2020,52,LA,0,0,0,0,,0
10/28/2021,43,MD,4402668,72.8,3992506,66,359975,9
10/28/2021,43,AK,433303,59.2,384105,52.5,47708,12.4
12/25/2020,52,RI,0,0,0,0,,0
12/25/2020,52,HI,0,0,0,0,,0
12/25/2020,52,DD2,0,0,0,0,,0
12/16/2020,51,FL,0,0,0,0,,0
12/25/2020,52,MO,0,0,0,0,,0
12/25/2020,52,KY,0,0,0,0,,0
12/25/2020,52,NH,0,0,0,0,,0
12/25/2020,52,WA,0,0,0,0,,0
12/25/2020,52,ID,0,0,0,0,,0
10/28/2021,43,OK,2342065,59.2,1972206,49.8,187657,9.5
12/25/2020,52,PR,0,0,0,0,,0
12/25/2020,52,WV,0,0,0,0,,0
10/28/2021,43,OR,2877494,68.2,2644914,62.7,250258,9.5
12/25/2020,52,AZ,0,0,0,0,,0
12/25/2020,52,FM,0,0,0,0,,0
10/28/2021,43,LA,2496412,53.7,2208860,47.5,207356,9.4
12/25/2020,52,CA,0,0,0,0,,0
12/25/2020,52,MP,0,0,0,0,,0
5/10/2023,19,KY,3086324,69.1,2669260,59.7,1296289,48.6
12/25/2020,52,CO,0,0,0,0,,0
12/25/2020,52,MH,0,0,0,0,,0
12/25/2020,52,BP2,0,0,0,0,,0
12/25/2020,52,IH2,0,0,0,0,,0
12/25/2020,52,IN,0,0,0,0,,0
12/25/2020,52,NJ,0,0,0,0,,0
12/25/2020,52,GU,0,0,0,0,,0
12/25/2020,52,MS,0,0,0,0,,0
12/25/2020,52,PA,0,0,0,0,,0
12/25/2020,52,CT,0,0,0,0,,0
10/28/2021,43,WV,876471,48.9,734879,41,43341,5.9
12/25/2020,52,OR,0,0,0,0,,0
10/28/2021,43,NJ,6644117,74.8,5881358,66.2,471368,8
10/28/2021,43,CO,3884030,67.4,3537500,61.4,379441,10.7
12/16/2020,51,KS,0,0,0,0,,0
10/28/2021,43,NH,1023181,75.2,853265,62.8,12768,1.5
12/16/2020,51,MD,0,0,0,0,,0
10/28/2021,43,TN,3715340,54.4,3246755,47.5,359839,11.1
10/28/2021,43,IN,3605808,53.6,3345526,49.7,298801,8.9
12/25/2020,52,MA,0,0,0,0,,0
12/16/2020,51,SC,0,0,0,0,,0
12/24/2020,52,MD,0,0,0,0,,0
10/28/2021,43,TX,17760174,61.3,15432142,53.2,1317641,8.5
10/28/2021,43,NY,14389125,74,12924107,66.4,638233,4.9
12/24/2020,52,MH,0,0,0,0,,0
12/24/2020,52,OH,0,0,0,0,,0
12/24/2020,52,NE,0,0,0,0,,0
12/24/2020,52,CO,0,0,0,0,,0
12/24/2020,52,MO,0,0,0,0,,0
10/28/2021,43,FL,14800606,68.9,12793276,59.6,1142257,8.9
12/24/2020,52,US,0,0,0,0,,0
12/24/2020,52,FL,0,0,0,0,,0
12/24/2020,52,LA,0,0,0,0,,0
12/24/2020,52,NH,0,0,0,0,,0
10/28/2021,43,MN,3665493,65,3367124,59.7,385869,11.5
10/28/2021,43,HI,1112385,78.6,844740,59.7,67368,8
10/28/2021,43,WI,3639416,62.5,3384470,58.1,374327,11.1
12/24/2020,52,CA,0,0,0,0,,0
12/24/2020,52,PA,0,0,0,0,,0
10/28/2021,43,DE,669849,68.8,581375,59.7,50594,8.7
12/24/2020,52,KS,0,0,0,0,,0
10/28/2021,43,MS,1544771,51.9,1355557,45.5,108753,8
12/24/2020,52,MI,0,0,0,0,,0
12/24/2020,52,WV,0,0,0,0,,0
10/28/2021,43,US,221348530,66.7,191242432,57.6,15417340,8.1
10/28/2021,43,PR,2614358,81.9,2341967,73.3,135101,5.8
12/24/2020,52,ND,0,0,0,0,,0
10/28/2021,43,NC,6692985,63.8,5504519,52.5,313122,5.7
10/28/2021,43,IH2,926111,44.5,768907,36.9,47772,6.2
12/24/2020,52,DC,0,0,0,0,,0
12/24/2020,52,AK,0,0,0,0,,0
12/24/2020,52,VA2,0,0,0,0,,0
10/27/2021,43,DC,521363,73.9,438857,62.2,25276,5.8
10/27/2021,43,GU,131834,79.5,120724,72.8,8703,7.2
12/24/2020,52,MS,0,0,0,0,,0
10/27/2021,43,NH,1020528,75.1,853005,62.7,12435,1.5
10/27/2021,43,ID,871752,48.8,779427,43.6,83597,10.7
12/24/2020,52,MP,0,0,0,0,,0
10/27/2021,43,WI,3635158,62.4,3381275,58.1,350946,10.4
12/24/2020,52,ID,0,0,0,0,,0
12/24/2020,52,AL,0,0,0,0,,0
10/27/2021,43,IH2,925058,44.4,768229,36.9,45527,5.9
12/24/2020,52,DD2,0,0,0,0,,0
10/27/2021,43,AK,432619,59.1,383673,52.4,45181,11.8
10/27/2021,43,CO,3878912,67.4,3532893,61.3,354457,10
12/24/2020,52,NM,0,0,0,0,,0
10/27/2021,43,RP,17945,99.9,15680,87.6,565,3.6
12/24/2020,52,IL,0,0,0,0,,0
10/27/2021,43,TN,3710401,54.3,3242140,47.5,337158,10.4
12/24/2020,52,OR,0,0,0,0,,0
12/24/2020,52,IN,0,0,0,0,,0
10/27/2021,43,MN,3660760,64.9,3363190,59.6,362658,10.8
12/24/2020,52,KY,0,0,0,0,,0
5/10/2023,19,VI,75415,71,59085,55.6,18581,31.4
12/24/2020,52,AR,0,0,0,0,,0
12/24/2020,52,WI,0,0,0,0,,0
10/27/2021,43,NM,1504453,71.7,1298056,61.9,136743,10.5
10/27/2021,43,MT,604856,56.6,537038,50.2,60266,11.2
10/27/2021,43,CT,2800834,78.6,2513048,70.5,198765,7.9
12/24/2020,52,BP2,0,0,0,0,,0
10/27/2021,43,DE,669542,68.8,581269,59.7,50399,8.7
12/24/2020,52,NC,0,0,0,0,,0
10/27/2021,43,ME,1023788,76.2,945153,70.3,80642,8.5
12/24/2020,52,OK,0,0,0,0,,0
12/24/2020,52,NV,0,0,0,0,,0
12/24/2020,52,WA,0,0,0,0,,0
12/24/2020,52,HI,0,0,0,0,,0
10/27/2021,43,CA,29296488,74.1,24089272,61,1708493,7.1
12/24/2020,52,TX,0,0,0,0,,0
12/24/2020,52,CT,0,0,0,0,,0
12/24/2020,52,NJ,0,0,0,0,,0
10/27/2021,43,IL,8818283,69.6,6898376,54.4,270607,3.9
12/24/2020,52,SC,0,0,0,0,,0
10/27/2021,43,ND,403240,52.9,348057,45.7,33938,9.8
12/24/2020,52,IA,0,0,0,0,,0
12/24/2020,52,VT,0,0,0,0,,0
10/27/2021,43,SC,2946914,57.2,2559355,49.7,248865,9.7
10/27/2021,43,FL,14782271,68.8,12777846,59.5,1078434,8.4
12/24/2020,52,RI,0,0,0,0,,0
10/27/2021,43,UT,1949451,60.8,1705559,53.2,102436,6
12/24/2020,52,MN,0,0,0,0,,0
12/24/2020,52,MT,0,0,0,0,,0
12/24/2020,52,UT,0,0,0,0,,0
12/24/2020,52,DE,0,0,0,0,,0
10/27/2021,43,KY,2797423,62.6,2438895,54.6,211994,8.7
12/24/2020,52,GU,0,0,0,0,,0
10/27/2021,43,MI,5790731,58,5328112,53.4,540171,10.1
10/27/2021,43,NE,1175778,60.8,1084917,56.1,103986,9.6
12/24/2020,52,VI,0,0,0,0,,0
12/24/2020,52,NY,0,0,0,0,,0
10/27/2021,43,VI,55653,53.2,48819,46.6,2489,5.1
12/24/2020,52,PR,0,0,0,0,,0
12/24/2020,52,WY,0,0,0,0,,0
12/24/2020,52,AS,0,0,0,0,,0
10/27/2021,43,PR,2614002,81.8,2341911,73.3,134942,5.8
10/27/2021,43,DD2,3361962,0,2619595,0,537,0
12/24/2020,52,ME,0,0,0,0,,0
12/24/2020,52,IH2,0,0,0,0,,0
12/24/2020,52,FM,0,0,0,0,,0
12/24/2020,52,GA,0,0,0,0,,0
12/24/2020,52,AZ,0,0,0,0,,0
12/24/2020,52,VA,0,0,0,0,,0
10/27/2021,43,MA,5492125,79.7,4785508,69.4,344953,7.2
12/24/2020,52,TN,0,0,0,0,,0
12/24/2020,52,LTC,0,0,0,0,,0
12/24/2020,52,SD,0,0,0,0,,0
10/27/2021,43,HI,1111115,78.5,844054,59.6,64760,7.7
12/24/2020,52,MA,0,0,0,0,,0
12/23/2020,52,RI,0,0,0,0,,0
12/23/2020,52,MP,0,0,0,0,,0
12/23/2020,52,DD2,0,0,0,0,,0
12/23/2020,52,WA,0,0,0,0,,0
10/27/2021,43,NY,14361742,73.8,12904040,66.3,597679,4.6
12/23/2020,52,OR,0,0,0,0,,0
10/27/2021,43,AS,35220,63.2,30902,55.5,22,0.1
10/27/2021,43,OR,2874367,68.1,2642322,62.6,235535,8.9
10/27/2021,43,MD,4396554,72.7,3988287,66,334912,8.4
10/27/2021,43,AR,1741449,57.7,1440951,47.7,120583,8.4
10/27/2021,43,LA,2493182,53.6,2205754,47.4,196764,8.9
10/27/2021,43,BP2,126633,0,120317,0,2220,1.8
10/27/2021,43,WV,875827,48.9,734647,41,42747,5.8
10/27/2021,43,FM,45916,44.3,40321,38.9,52,0.1
12/23/2020,52,WI,0,0,0,0,,0
10/27/2021,43,GA,6018838,56.7,5091396,48,351041,6.9
10/27/2021,43,MO,3470432,56.5,3040572,49.5,266394,8.8
12/23/2020,52,CA,0,0,0,0,,0
12/23/2020,52,IN,0,0,0,0,,0
12/23/2020,52,GU,0,0,0,0,,0
12/23/2020,52,MA,0,0,0,0,,0
10/27/2021,43,AZ,4436703,61,3844830,52.8,294046,7.6
10/27/2021,43,VT,494955,79.3,442854,71,49273,11.1
10/27/2021,43,IA,1874703,59.4,1746613,55.4,169834,9.7
12/23/2020,52,PA,0,0,0,0,,0
10/27/2021,43,TX,17724584,61.1,15405764,53.1,1242267,8.1
10/27/2021,43,NV,1940068,63,1622453,52.7,109034,6.7
10/27/2021,43,VA2,3073550,0,2856783,0,238311,8.3
12/23/2020,52,AS,0,0,0,0,,0
10/27/2021,43,MH,23753,40.7,20218,34.6,10,0
12/23/2020,52,AK,0,0,0,0,,0
