Date,Location,Administered_Dose1_Pop_Pct
2022-03-11,PA,83.6
2022-03-11,PR,95
2022-03-11,PW,94.3
2022-03-11,RI,95
2022-03-11,SC,66.9
2022-03-11,SD,75.2
2022-03-11,TN,61.5
2022-03-11,TX,71.4
2022-03-11,US,76.6
2022-03-11,UT,71.3
2022-03-11,VA,84.7
2022-03-11,VI,63.9
2022-03-11,VT,92.6
2022-03-11,WA,80
2022-03-11,WI,71.2
2022-03-11,WV,64.4
2022-03-11,WY,58.1
2022-03-12,AK,68.9
2022-03-12,AL,62.1
2022-03-12,AR,65.9
2022-03-12,AS,92.7
2022-03-12,AZ,71.8
2022-03-12,BP,0
2022-03-12,CA,82.1
2022-03-12,CO,78.6
2022-03-12,CT,94.3
2022-03-12,DC,95
2022-03-12,DD,0
2022-03-12,DE,82.1
2022-03-12,FL,78.3
2022-03-12,FM,60.4
2022-03-12,GA,64.6
2022-03-12,GU,89.8
2022-03-12,HI,86.7
2022-03-12,IA,67.4
2022-03-12,ID,60.5
2022-03-12,IH,51.9
2022-03-12,IL,76.2
2022-03-12,IN,60.9
2022-03-12,KS,73.8
2022-03-12,KY,65.5
2022-03-12,LA,60.4
2022-03-12,MA,95
2022-03-12,MD,85.2
2022-03-12,ME,89.2
2022-03-12,MH,38.7
2022-03-12,MI,66.4
2022-03-12,MN,74.5
2022-03-12,MO,65.6
2022-03-12,MP,87.2
2022-03-12,MS,59
2022-03-12,MT,64.6
2022-03-12,NC,82.7
2022-03-12,ND,64.5
2022-03-12,NE,69.5
2022-03-12,NH,95
2022-03-12,NJ,89.4
2022-03-12,NM,86.3
2022-03-12,NV,74.3
2022-03-12,NY,89.3
2022-03-12,OH,63
2022-03-12,OK,70.2
2022-03-12,OR,77.2
2022-03-12,PA,83.6
2022-03-12,PR,95
2022-03-12,PW,94.3
2022-03-12,RI,95
2022-03-12,SC,66.9
2022-03-12,SD,75.2
2022-03-12,TN,61.5
2022-03-12,TX,71.5
2022-03-12,US,76.7
2022-03-12,UT,71.3
2022-03-12,VA,84.7
2022-03-12,VI,63.9
2022-03-12,VT,92.7
2022-03-12,WA,80
2022-03-12,WI,71.2
2022-03-12,WV,64.4
2022-03-12,WY,58.2
2022-03-13,AK,68.9
2022-03-13,AL,62.1
2022-03-13,AR,66
2022-03-13,AS,92.7
2022-03-13,AZ,71.8
2022-03-13,BP,0
2022-03-13,CA,82.2
2022-03-13,CO,78.6
2022-03-13,CT,94.3
2022-03-13,DC,95
2022-03-13,DD,0
2022-03-13,DE,82.1
2022-03-13,FL,78.3
2022-03-13,FM,60.4
2022-03-13,GA,64.6
2022-03-13,GU,89.8
2022-03-13,HI,86.7
2022-03-13,IA,67.4
